Die Bevölkerung in den kreisfreien Städten und Landkreisen am 31.12.2021 nach Alter und Geschlecht,,,,,,,,,,,Zurück zum Inhalt
AGS / Gebiet,Alter in Jahren,Insgesamt,,,Deutsche,,,Nichtdeutsche,,,
,,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,
,25 bis unter 26,4567,2461,2106,3420,1798,1622,1147,663,484,
,26 bis unter 27,4506,2387,2119,3243,1702,1541,1263,685,578,
,27 bis unter 28,4531,2395,2136,3212,1718,1494,1319,677,642,
,28 bis unter 29,4782,2467,2315,3409,1733,1676,1373,734,639,
,29 bis unter 30,4765,2490,2275,3456,1770,1686,1309,720,589,
,30 bis unter 31,5067,2558,2509,3669,1767,1902,1398,791,607,
,31 bis unter 32,5246,2745,2501,3765,1908,1857,1481,837,644,
,32 bis unter 33,5335,2693,2642,3792,1878,1914,1543,815,728,
,33 bis unter 34,5411,2725,2686,3996,1973,2023,1415,752,663,
,34 bis unter 35,5371,2661,2710,3890,1877,2013,1481,784,697,
,35 bis unter 36,5337,2667,2670,3934,1917,2017,1403,750,653,
,36 bis unter 37,5015,2562,2453,3673,1840,1833,1342,722,620,
,37 bis unter 38,5009,2557,2452,3653,1865,1788,1356,692,664,
,38 bis unter 39,5107,2566,2541,3772,1886,1886,1335,680,655,
,39 bis unter 40,5303,2642,2661,4042,2018,2024,1261,624,637,
,40 bis unter 41,5538,2763,2775,4166,2067,2099,1372,696,676,
,41 bis unter 42,5459,2667,2792,4082,1982,2100,1377,685,692,
,42 bis unter 43,5241,2640,2601,3940,1974,1966,1301,666,635,
,43 bis unter 44,5296,2634,2662,3956,1951,2005,1340,683,657,
,44 bis unter 45,5198,2570,2628,3844,1888,1956,1354,682,672,
,45 bis unter 46,5236,2616,2620,3929,1976,1953,1307,640,667,
,46 bis unter 47,4986,2484,2502,3727,1807,1920,1259,677,582,
,47 bis unter 48,5151,2502,2649,3803,1844,1959,1348,658,690,
,48 bis unter 49,5204,2578,2626,3931,1977,1954,1273,601,672,
,49 bis unter 50,5525,2686,2839,4253,2056,2197,1272,630,642,
,50 bis unter 51,6049,3019,3030,4846,2414,2432,1203,605,598,
,51 bis unter 52,6323,3138,3185,5132,2539,2593,1191,599,592,
,52 bis unter 53,6645,3360,3285,5517,2796,2721,1128,564,564,
,53 bis unter 54,7018,3456,3562,5950,2906,3044,1068,550,518,
,54 bis unter 55,7152,3559,3593,6105,3059,3046,1047,500,547,
,55 bis unter 56,7258,3630,3628,6253,3095,3158,1005,535,470,
,56 bis unter 57,7237,3564,3673,6255,3106,3149,982,458,524,
,57 bis unter 58,7237,3600,3637,6297,3118,3179,940,482,458,
,58 bis unter 59,7046,3570,3476,6168,3098,3070,878,472,406,
,59 bis unter 60,6896,3403,3493,6140,3003,3137,756,400,356,
,60 bis unter 61,6668,3306,3362,5983,2956,3027,685,350,335,
,61 bis unter 62,6271,3135,3136,5604,2799,2805,667,336,331,
,62 bis unter 63,6280,3144,3136,5681,2845,2836,599,299,300,
,63 bis unter 64,5767,2802,2965,5233,2521,2712,534,281,253,
,64 bis unter 65,5723,2835,2888,5188,2573,2615,535,262,273,
,65 bis unter 66,5402,2600,2802,4883,2343,2540,519,257,262,
,66 bis unter 67,5069,2450,2619,4621,2243,2378,448,207,241,
,67 bis unter 68,5060,2350,2710,4663,2169,2494,397,181,216,
,68 bis unter 69,4652,2168,2484,4290,2015,2275,362,153,209,
,69 bis unter 70,4809,2252,2557,4440,2102,2338,369,150,219,
,70 bis unter 71,4634,2130,2504,4268,1992,2276,366,138,228,
,71 bis unter 72,4663,2169,2494,4258,2019,2239,405,150,255,
,72 bis unter 73,4799,2169,2630,4390,1998,2392,409,171,238,
,73 bis unter 74,4345,2060,2285,3968,1885,2083,377,175,202,
,74 bis unter 75,4078,1839,2239,3694,1649,2045,384,190,194,
,75 bis unter 76,3263,1515,1748,2973,1377,1596,290,138,152,
,76 bis unter 77,2744,1243,1501,2483,1125,1358,261,118,143,
,77 bis unter 78,3539,1630,1909,3277,1494,1783,262,136,126,
,78 bis unter 79,3553,1638,1915,3290,1510,1780,263,128,135,
,79 bis unter 80,3244,1452,1792,3034,1342,1692,210,110,100,
,80 bis unter 81,3779,1674,2105,3576,1566,2010,203,108,95,
,81 bis unter 82,3799,1649,2150,3613,1542,2071,186,107,79,
,82 bis unter 83,3593,1579,2014,3430,1496,1934,163,83,80,
,83 bis unter 84,3084,1348,1736,2935,1265,1670,149,83,66,
,84 bis unter 85,2788,1172,1616,2663,1111,1552,125,61,64,
,85 bis unter 86,2406,987,1419,2289,925,1364,117,62,55,
,86 bis unter 87,2097,802,1295,2004,752,1252,93,50,43,
,87 bis unter 88,1717,655,1062,1632,613,1019,85,42,43,
,88 bis unter 89,1207,446,761,1134,403,731,73,43,30,
,89 bis unter 90,1050,378,672,1000,358,642,50,20,30,
,90 bis unter 91,892,303,589,866,293,573,26,10,16,
,91 bis unter 92,797,247,550,773,236,537,24,11,13,
,92 bis unter 93,636,203,433,610,190,420,26,13,13,
,93 bis unter 94,449,135,314,438,128,310,11,7,4,
,94 bis unter 95,392,108,284,376,103,273,16,5,11,
,95 oder älter,746,156,590,725,149,576,21,7,14,
,Insgesamt,423465,208904,214561,352456,172227,180229,71009,36677,34332,
436,Unter 1,2377,1241,1136,1960,1015,945,417,226,191,
Main-Taunus-Kreis,  1 bis unter   2,2277,1205,1072,1881,989,892,396,216,180,
,  2 bis unter   3,2352,1192,1160,1953,983,970,399,209,190,
,  3 bis unter   4,2444,1246,1198,2014,1027,987,430,219,211,
,  4 bis unter   5,2400,1245,1155,1972,1017,955,428,228,200,
,  5 bis unter   6,2566,1331,1235,2081,1073,1008,485,258,227,
,  6 bis unter   7,2504,1263,1241,2023,1014,1009,481,249,232,
,  7 bis unter   8,2436,1225,1211,1979,982,997,457,243,214,
,  8 bis unter   9,2476,1290,1186,1963,993,970,513,297,216,
,  9 bis unter 10,2412,1275,1137,1990,1044,946,422,231,191,
,10 bis unter 11,2397,1225,1172,1968,996,972,429,229,200,
,11 bis unter 12,2419,1283,1136,2014,1070,944,405,213,192,
,12 bis unter 13,2449,1275,1174,2091,1067,1024,358,208,150,
,13 bis unter 14,2512,1277,1235,2127,1086,1041,385,191,194,
,14 bis unter 15,2527,1313,1214,2199,1119,1080,328,194,134,
,15 bis unter 16,2422,1269,1153,2048,1061,987,374,208,166,
,16 bis unter 17,2490,1311,1179,2157,1124,1033,333,187,146,
,17 bis unter 18,2485,1297,1188,2121,1087,1034,364,210,154,
,18 bis unter 19,2352,1250,1102,2029,1057,972,323,193,130,
,19 bis unter 20,2352,1254,1098,2023,1065,958,329,189,140,
,20 bis unter 21,2186,1206,980,1842,1006,836,344,200,144,
,21 bis unter 22,2132,1125,1007,1769,925,844,363,200,163,
,22 bis unter 23,2196,1216,980,1715,939,776,481,277,204,
,23 bis unter 24,2266,1259,1007,1719,933,786,547,326,221,
,24 bis unter 25,2394,1287,1107,1773,955,818,621,332,289,
,25 bis unter 26,2279,1203,1076,1653,864,789,626,339,287,
,26 bis unter 27,2274,1177,1097,1656,845,811,618,332,286,
,27 bis unter 28,2297,1157,1140,1638,820,818,659,337,322,
,28 bis unter 29,2370,1179,1191,1700,864,836,670,315,355,
,29 bis unter 30,2449,1276,1173,1691,876,815,758,400,358,
,30 bis unter 31,2577,1304,1273,1792,919,873,785,385,400,
,31 bis unter 32,2817,1376,1441,1903,921,982,914,455,459,
,32 bis unter 33,2839,1417,1422,1952,948,1004,887,469,418,
,33 bis unter 34,2838,1457,1381,1948,1002,946,890,455,435,
,34 bis unter 35,2890,1448,1442,2059,1019,1040,831,429,402,
,35 bis unter 36,2824,1395,1429,2029,982,1047,795,413,382,
,36 bis unter 37,2848,1406,1442,2023,997,1026,825,409,416,
,37 bis unter 38,2999,1444,1555,2123,1016,1107,876,428,448,
,38 bis unter 39,3124,1473,1651,2258,1053,1205,866,420,446,
,39 bis unter 40,3354,1569,1785,2422,1116,1306,932,453,479,
,40 bis unter 41,3271,1536,1735,2419,1118,1301,852,418,434,
,41 bis unter 42,3297,1599,1698,2421,1153,1268,876,446,430,
,42 bis unter 43,3157,1553,1604,2341,1151,1190,816,402,414,
,43 bis unter 44,3224,1619,1605,2400,1212,1188,824,407,417,
,44 bis unter 45,3230,1540,1690,2410,1133,1277,820,407,413,
,45 bis unter 46,3145,1565,1580,2365,1152,1213,780,413,367,
,46 bis unter 47,3057,1477,1580,2289,1095,1194,768,382,386,
,47 bis unter 48,3184,1610,1574,2392,1176,1216,792,434,358,
,48 bis unter 49,3081,1494,1587,2287,1100,1187,794,394,400,
,49 bis unter 50,3318,1643,1675,2520,1250,1270,798,393,405,
,50 bis unter 51,3570,1737,1833,2860,1393,1467,710,344,366,
,51 bis unter 52,3762,1854,1908,3024,1474,1550,738,380,358,
,52 bis unter 53,3945,1968,1977,3314,1666,1648,631,302,329,
,53 bis unter 54,4207,2069,2138,3593,1767,1826,614,302,312,
,54 bis unter 55,4315,2152,2163,3733,1853,1880,582,299,283,
,55 bis unter 56,4212,2105,2107,3686,1821,1865,526,284,242,
,56 bis unter 57,4126,2100,2026,3602,1817,1785,524,283,241,
,57 bis unter 58,4018,2025,1993,3544,1798,1746,474,227,247,
,58 bis unter 59,3939,1928,2011,3496,1708,1788,443,220,223,
,59 bis unter 60,3663,1816,1847,3240,1605,1635,423,211,212,
,60 bis unter 61,3503,1768,1735,3152,1582,1570,351,186,165,
,61 bis unter 62,3360,1659,1701,3014,1499,1515,346,160,186,
,62 bis unter 63,3177,1555,1622,2854,1411,1443,323,144,179,
,63 bis unter 64,2978,1401,1577,2672,1261,1411,306,140,166,
,64 bis unter 65,2805,1358,1447,2499,1220,1279,306,138,168,
,65 bis unter 66,2651,1237,1414,2359,1108,1251,292,129,163,
,66 bis unter 67,2473,1188,1285,2198,1090,1108,275,98,177,
,67 bis unter 68,2377,1120,1257,2109,1016,1093,268,104,164,
,68 bis unter 69,2359,1064,1295,2084,957,1127,275,107,168,
,69 bis unter 70,2311,1041,1270,2050,947,1103,261,94,167,
,70 bis unter 71,2319,1013,1306,2085,922,1163,234,91,143,
,71 bis unter 72,2359,1086,1273,2096,967,1129,263,119,144,
,72 bis unter 73,2373,1089,1284,2134,980,1154,239,109,130,
,73 bis unter 74,2345,1054,1291,2104,944,1160,241,110,131,
,74 bis unter 75,2132,936,1196,1926,833,1093,206,103,103,
,75 bis unter 76,1821,839,982,1616,737,879,205,102,103,
,76 bis unter 77,1621,767,854,1441,668,773,180,99,81,
,77 bis unter 78,2198,964,1234,2030,878,1152,168,86,82,
,78 bis unter 79,2132,949,1183,1976,878,1098,156,71,85,
,79 bis unter 80,2012,885,1127,1894,817,1077,118,68,50,
,80 bis unter 81,2287,1000,1287,2180,947,1233,107,53,54,
,81 bis unter 82,2226,951,1275,2119,901,1218,107,50,57,
,82 bis unter 83,2093,898,1195,1993,839,1154,100,59,41,
,83 bis unter 84,1872,813,1059,1769,757,1012,103,56,47,
,84 bis unter 85,1625,687,938,1552,654,898,73,33,40,
,85 bis unter 86,1437,596,841,1381,568,813,56,28,28,
,86 bis unter 87,1264,503,761,1213,482,731,51,21,30,
,87 bis unter 88,1057,414,643,1016,395,621,41,19,22,
,88 bis unter 89,719,298,421,677,278,399,42,20,22,
,89 bis unter 90,649,273,376,626,259,367,23,14,9,
,90 bis unter 91,573,215,358,554,208,346,19,7,12,
,91 bis unter 92,477,177,300,454,166,288,23,11,12,
,92 bis unter 93,338,116,222,324,107,217,14,9,5,
,93 bis unter 94,268,95,173,255,91,164,13,4,9,
,94 bis unter 95,221,77,144,214,73,141,7,4,3,
,95 oder älter,541,119,422,526,113,413,15,6,9,
,Insgesamt,239276,117236,122040,197340,95864,101476,41936,21372,20564,
437,Unter 1,857,446,411,743,376,367,114,70,44,
Odenwaldkreis,  1 bis unter   2,871,442,429,737,365,372,134,77,57,
,  2 bis unter   3,834,432,402,710,388,322,124,44,80,
,  3 bis unter   4,897,481,416,781,423,358,116,58,58,
,  4 bis unter   5,876,472,404,755,406,349,121,66,55,
,  5 bis unter   6,899,471,428,762,389,373,137,82,55,
,  6 bis unter   7,857,444,413,717,368,349,140,76,64,
,  7 bis unter   8,844,445,399,730,395,335,114,50,64,
,  8 bis unter   9,807,421,386,698,365,333,109,56,53,
,  9 bis unter 10,865,434,431,727,361,366,138,73,65,
,10 bis unter 11,804,395,409,692,344,348,112,51,61,
,11 bis unter 12,842,429,413,717,367,350,125,62,63,
,12 bis unter 13,865,437,428,742,379,363,123,58,65,
,13 bis unter 14,819,398,421,698,348,350,121,50,71,
,14 bis unter 15,880,455,425,760,389,371,120,66,54,
,15 bis unter 16,862,446,416,756,395,361,106,51,55,
,16 bis unter 17,905,440,465,801,387,414,104,53,51,
,17 bis unter 18,905,464,441,804,410,394,101,54,47,
,18 bis unter 19,917,470,447,800,412,388,117,58,59,
,19 bis unter 20,931,484,447,825,431,394,106,53,53,
,20 bis unter 21,944,522,422,814,452,362,130,70,60,
,21 bis unter 22,995,528,467,834,443,391,161,85,76,
,22 bis unter 23,921,453,468,718,352,366,203,101,102,
,23 bis unter 24,931,506,425,713,387,326,218,119,99,
,24 bis unter 25,1000,554,446,769,427,342,231,127,104,
,25 bis unter 26,981,537,444,759,416,343,222,121,101,
,26 bis unter 27,941,495,446,730,396,334,211,99,112,
,27 bis unter 28,1010,507,503,769,385,384,241,122,119,
,28 bis unter 29,1039,545,494,789,432,357,250,113,137,
,29 bis unter 30,991,531,460,737,396,341,254,135,119,
,30 bis unter 31,1108,602,506,834,440,394,274,162,112,
,31 bis unter 32,1160,597,563,903,471,432,257,126,131,
,32 bis unter 33,1140,616,524,875,468,407,265,148,117,
,33 bis unter 34,1147,589,558,856,432,424,291,157,134,
,34 bis unter 35,1122,591,531,859,457,402,263,134,129,
,35 bis unter 36,1115,535,580,846,399,447,269,136,133,
,36 bis unter 37,1091,562,529,817,414,403,274,148,126,
,37 bis unter 38,1120,554,566,853,410,443,267,144,123,
,38 bis unter 39,1045,546,499,803,425,378,242,121,121,
,39 bis unter 40,1069,550,519,828,427,401,241,123,118,
,40 bis unter 41,1097,526,571,865,407,458,232,119,113,
,41 bis unter 42,1144,547,597,823,400,423,321,147,174,
,42 bis unter 43,1156,585,571,892,448,444,264,137,127,
,43 bis unter 44,1036,490,546,792,377,415,244,113,131,
,44 bis unter 45,1098,526,572,814,394,420,284,132,152,
,45 bis unter 46,1091,523,568,832,404,428,259,119,140,
,46 bis unter 47,1082,570,512,797,416,381,285,154,131,
,47 bis unter 48,1147,577,570,864,431,433,283,146,137,
,48 bis unter 49,1152,581,571,863,427,436,289,154,135,
,49 bis unter 50,1230,610,620,966,476,490,264,134,130,
,50 bis unter 51,1373,652,721,1141,536,605,232,116,116,
,51 bis unter 52,1399,679,720,1144,555,589,255,124,131,
,52 bis unter 53,1525,746,779,1264,631,633,261,115,146,
,53 bis unter 54,1564,780,784,1325,655,670,239,125,114,
,54 bis unter 55,1592,749,843,1379,654,725,213,95,118,
,55 bis unter 56,1691,867,824,1467,752,715,224,115,109,
,56 bis unter 57,1709,869,840,1495,765,730,214,104,110,
,57 bis unter 58,1699,844,855,1501,738,763,198,106,92,
,58 bis unter 59,1729,866,863,1554,777,777,175,89,86,
,59 bis unter 60,1700,842,858,1529,762,767,171,80,91,
,60 bis unter 61,1620,822,798,1484,759,725,136,63,73,
,61 bis unter 62,1566,758,808,1420,678,742,146,80,66,
,62 bis unter 63,1588,787,801,1463,731,732,125,56,69,
,63 bis unter 64,1452,732,720,1338,676,662,114,56,58,
,64 bis unter 65,1464,732,732,1338,671,667,126,61,65,
,65 bis unter 66,1405,672,733,1297,619,678,108,53,55,
,66 bis unter 67,1408,686,722,1284,622,662,124,64,60,
,67 bis unter 68,1308,644,664,1221,602,619,87,42,45,
,68 bis unter 69,1270,642,628,1156,593,563,114,49,65,
,69 bis unter 70,1283,605,678,1195,573,622,88,32,56,
,70 bis unter 71,1251,610,641,1160,575,585,91,35,56,
,71 bis unter 72,1236,569,667,1136,531,605,100,38,62,
,72 bis unter 73,1205,576,629,1118,547,571,87,29,58,
,73 bis unter 74,1090,551,539,990,502,488,100,49,51,
,74 bis unter 75,1004,472,532,929,440,489,75,32,43,
,75 bis unter 76,764,370,394,695,332,363,69,38,31,
,76 bis unter 77,626,296,330,554,264,290,72,32,40,
,77 bis unter 78,814,389,425,753,356,397,61,33,28,
,78 bis unter 79,806,372,434,758,346,412,48,26,22,
,79 bis unter 80,757,330,427,707,308,399,50,22,28,
,80 bis unter 81,909,403,506,865,380,485,44,23,21,
,81 bis unter 82,962,433,529,936,418,518,26,15,11,
,82 bis unter 83,924,422,502,886,400,486,38,22,16,
,83 bis unter 84,784,313,471,743,288,455,41,25,16,
,84 bis unter 85,667,276,391,645,269,376,22,7,15,
,85 bis unter 86,613,270,343,595,260,335,18,10,8,
,86 bis unter 87,543,201,342,530,193,337,13,8,5,
,87 bis unter 88,434,161,273,422,157,265,12,4,8,
,88 bis unter 89,324,116,208,310,107,203,14,9,5,
,89 bis unter 90,296,105,191,281,100,181,15,5,10,
,90 bis unter 91,262,106,156,254,103,151,8,3,5,
,91 bis unter 92,211,55,156,209,53,156,2,2,0,
,92 bis unter 93,165,55,110,161,52,109,4,3,1,
,93 bis unter 94,126,33,93,124,33,91,2,0,2,
,94 bis unter 95,117,30,87,113,28,85,4,2,2,
,95 oder älter,278,62,216,270,59,211,8,3,5,
,Insgesamt,96953,47911,49042,82708,40757,41951,14245,7154,7091,
438,Unter 1,3667,1906,1761,3110,1606,1504,557,300,257,
Landkreis Offenbach,  1 bis unter   2,3525,1816,1709,2922,1484,1438,603,332,271,
,  2 bis unter   3,3634,1846,1788,2982,1512,1470,652,334,318,
,  3 bis unter   4,3651,1891,1760,3027,1562,1465,624,329,295,
,  4 bis unter   5,3779,1935,1844,3087,1585,1502,692,350,342,
,  5 bis unter   6,3832,1953,1879,3107,1595,1512,725,358,367,
,  6 bis unter   7,3709,1967,1742,2994,1578,1416,715,389,326,
,  7 bis unter   8,3503,1777,1726,2806,1439,1367,697,338,359,
,  8 bis unter   9,3316,1738,1578,2707,1394,1313,609,344,265,
,  9 bis unter 10,3470,1786,1684,2792,1439,1353,678,347,331,
,10 bis unter 11,3429,1795,1634,2739,1436,1303,690,359,331,
,11 bis unter 12,3350,1665,1685,2762,1371,1391,588,294,294,
,12 bis unter 13,3377,1803,1574,2763,1506,1257,614,297,317,
,13 bis unter 14,3498,1813,1685,2903,1507,1396,595,306,289,
,14 bis unter 15,3478,1812,1666,2928,1501,1427,550,311,239,
,15 bis unter 16,3379,1726,1653,2825,1420,1405,554,306,248,
,16 bis unter 17,3508,1785,1723,2965,1495,1470,543,290,253,
,17 bis unter 18,3513,1856,1657,2997,1564,1433,516,292,224,
,18 bis unter 19,3415,1787,1628,2887,1505,1382,528,282,246,
,19 bis unter 20,3409,1873,1536,2899,1588,1311,510,285,225,
,20 bis unter 21,3419,1827,1592,2811,1491,1320,608,336,272,
,21 bis unter 22,3775,1979,1796,3044,1571,1473,731,408,323,
,22 bis unter 23,3715,1978,1737,2706,1395,1311,1009,583,426,
,23 bis unter 24,3708,1992,1716,2691,1409,1282,1017,583,434,
,24 bis unter 25,3770,2053,1717,2713,1447,1266,1057,606,451,
,25 bis unter 26,3879,1997,1882,2755,1429,1326,1124,568,556,
,26 bis unter 27,3797,1996,1801,2577,1363,1214,1220,633,587,
,27 bis unter 28,4073,2086,1987,2734,1393,1341,1339,693,646,
,28 bis unter 29,3947,2032,1915,2661,1376,1285,1286,656,630,
,29 bis unter 30,4057,2049,2008,2739,1354,1385,1318,695,623,
,30 bis unter 31,4221,2104,2117,2845,1400,1445,1376,704,672,
,31 bis unter 32,4451,2262,2189,3029,1511,1518,1422,751,671,
,32 bis unter 33,4502,2295,2207,2985,1514,1471,1517,781,736,
,33 bis unter 34,4771,2393,2378,3238,1635,1603,1533,758,775,
,34 bis unter 35,4482,2261,2221,3008,1492,1516,1474,769,705,
,35 bis unter 36,4436,2202,2234,3017,1457,1560,1419,745,674,
,36 bis unter 37,4502,2288,2214,3056,1530,1526,1446,758,688,
,37 bis unter 38,4588,2276,2312,3177,1555,1622,1411,721,690,
,38 bis unter 39,4593,2258,2335,3179,1518,1661,1414,740,674,
,39 bis unter 40,4770,2332,2438,3407,1654,1753,1363,678,685,
,40 bis unter 41,4746,2326,2420,3370,1664,1706,1376,662,714,
,41 bis unter 42,4807,2367,2440,3358,1654,1704,1449,713,736,
,42 bis unter 43,4805,2332,2473,3406,1665,1741,1399,667,732,
,43 bis unter 44,4674,2311,2363,3277,1610,1667,1397,701,696,
,44 bis unter 45,4514,2235,2279,3167,1567,1600,1347,668,679,
,45 bis unter 46,4413,2159,2254,3105,1515,1590,1308,644,664,
,46 bis unter 47,4411,2163,2248,3073,1509,1564,1338,654,684,
,47 bis unter 48,4420,2264,2156,3071,1575,1496,1349,689,660,
,48 bis unter 49,4499,2292,2207,3210,1625,1585,1289,667,622,
,49 bis unter 50,4690,2309,2381,3364,1655,1709,1326,654,672,
,50 bis unter 51,5089,2553,2536,3823,1898,1925,1266,655,611,
,51 bis unter 52,5145,2572,2573,3953,1990,1963,1192,582,610,
,52 bis unter 53,5468,2695,2773,4311,2112,2199,1157,583,574,
,53 bis unter 54,5713,2874,2839,4619,2328,2291,1094,546,548,
,54 bis unter 55,5870,2923,2947,4826,2392,2434,1044,531,513,
,55 bis unter 56,6061,3053,3008,5063,2551,2512,998,502,496,
,56 bis unter 57,6004,2992,3012,5003,2499,2504,1001,493,508,
,57 bis unter 58,5899,2946,2953,4919,2446,2473,980,500,480,
,58 bis unter 59,5726,2880,2846,4863,2434,2429,863,446,417,
,59 bis unter 60,5494,2665,2829,4700,2255,2445,794,410,384,
,60 bis unter 61,5312,2655,2657,4584,2289,2295,728,366,362,
,61 bis unter 62,4996,2464,2532,4305,2124,2181,691,340,351,
,62 bis unter 63,4906,2442,2464,4317,2149,2168,589,293,296,
,63 bis unter 64,4431,2195,2236,3886,1900,1986,545,295,250,
,64 bis unter 65,4416,2163,2253,3877,1883,1994,539,280,259,
,65 bis unter 66,4239,2077,2162,3645,1790,1855,594,287,307,
,66 bis unter 67,4158,1938,2220,3613,1702,1911,545,236,309,
,67 bis unter 68,3772,1755,2017,3263,1544,1719,509,211,298,
,68 bis unter 69,3706,1734,1972,3272,1567,1705,434,167,267,
,69 bis unter 70,3814,1782,2032,3330,1610,1720,484,172,312,
,70 bis unter 71,3563,1632,1931,3117,1438,1679,446,194,252,
,71 bis unter 72,3728,1653,2075,3252,1454,1798,476,199,277,
,72 bis unter 73,3762,1737,2025,3283,1496,1787,479,241,238,
,73 bis unter 74,3590,1629,1961,3144,1403,1741,446,226,220,
,74 bis unter 75,3196,1459,1737,2809,1261,1548,387,198,189,
,75 bis unter 76,2824,1321,1503,2450,1126,1324,374,195,179,
,76 bis unter 77,2453,1111,1342,2128,948,1180,325,163,162,
,77 bis unter 78,3174,1394,1780,2896,1263,1633,278,131,147,
,78 bis unter 79,3032,1366,1666,2762,1233,1529,270,133,137,
,79 bis unter 80,2777,1271,1506,2517,1127,1390,260,144,116,
,80 bis unter 81,3232,1429,1803,3007,1307,1700,225,122,103,
,81 bis unter 82,3236,1351,1885,3033,1259,1774,203,92,111,
,82 bis unter 83,2986,1254,1732,2810,1161,1649,176,93,83,
,83 bis unter 84,2620,1102,1518,2483,1025,1458,137,77,60,
,84 bis unter 85,2213,948,1265,2066,871,1195,147,77,70,
,85 bis unter 86,2123,882,1241,2002,818,1184,121,64,57,
,86 bis unter 87,1828,756,1072,1732,709,1023,96,47,49,
,87 bis unter 88,1522,574,948,1427,521,906,95,53,42,
,88 bis unter 89,1090,436,654,1027,408,619,63,28,35,
,89 bis unter 90,977,331,646,919,299,620,58,32,26,
,90 bis unter 91,773,304,469,735,286,449,38,18,20,
,91 bis unter 92,668,239,429,641,225,416,27,14,13,
,92 bis unter 93,549,191,358,526,179,347,23,12,11,
,93 bis unter 94,417,144,273,400,140,260,17,4,13,
,94 bis unter 95,298,89,209,285,85,200,13,4,9,
,95 oder älter,739,170,569,698,151,547,41,19,22,
,Insgesamt,357466,176079,181387,285296,139276,146020,72170,36803,35367,
439,Unter 1,1568,796,772,1323,685,638,245,111,134,
Rheingau-Taunus-Kreis,  1 bis unter   2,1522,752,770,1286,634,652,236,118,118,
,  2 bis unter   3,1634,813,821,1373,671,702,261,142,119,
,  3 bis unter   4,1750,920,830,1471,776,695,279,144,135,
,  4 bis unter   5,1716,874,842,1471,761,710,245,113,132,
,  5 bis unter   6,1737,912,825,1473,770,703,264,142,122,
,  6 bis unter   7,1740,880,860,1475,755,720,265,125,140,
,  7 bis unter   8,1732,892,840,1464,760,704,268,132,136,
,  8 bis unter   9,1607,825,782,1394,707,687,213,118,95,
,  9 bis unter 10,1645,853,792,1439,735,704,206,118,88,
,10 bis unter 11,1658,856,802,1437,741,696,221,115,106,
,11 bis unter 12,1693,866,827,1478,769,709,215,97,118,
,12 bis unter 13,1697,880,817,1485,769,716,212,111,101,
,13 bis unter 14,1785,935,850,1577,821,756,208,114,94,
,14 bis unter 15,1789,930,859,1606,843,763,183,87,96,
,15 bis unter 16,1741,899,842,1540,782,758,201,117,84,
,16 bis unter 17,1807,946,861,1605,824,781,202,122,80,
,17 bis unter 18,1845,981,864,1645,871,774,200,110,90,
,18 bis unter 19,1806,949,857,1615,838,777,191,111,80,
,19 bis unter 20,1807,962,845,1611,851,760,196,111,85,
,20 bis unter 21,1796,916,880,1572,783,789,224,133,91,
,21 bis unter 22,1799,949,850,1554,809,745,245,140,105,
,22 bis unter 23,1790,959,831,1498,783,715,292,176,116,
,23 bis unter 24,1880,1063,817,1502,838,664,378,225,153,
,24 bis unter 25,1922,983,939,1507,763,744,415,220,195,
,25 bis unter 26,1854,989,865,1461,775,686,393,214,179,
,26 bis unter 27,1739,926,813,1313,708,605,426,218,208,
,27 bis unter 28,1851,976,875,1386,717,669,465,259,206,
,28 bis unter 29,1815,959,856,1394,723,671,421,236,185,
,29 bis unter 30,1808,940,868,1383,712,671,425,228,197,
,30 bis unter 31,1852,954,898,1443,736,707,409,218,191,
,31 bis unter 32,2012,1023,989,1542,784,758,470,239,231,
,32 bis unter 33,1983,1048,935,1559,802,757,424,246,178,
,33 bis unter 34,2058,1042,1016,1618,796,822,440,246,194,
,34 bis unter 35,2052,1044,1008,1628,810,818,424,234,190,
,35 bis unter 36,2139,1065,1074,1713,844,869,426,221,205,
,36 bis unter 37,1995,966,1029,1576,765,811,419,201,218,
,37 bis unter 38,2159,1095,1064,1726,865,861,433,230,203,
,38 bis unter 39,2225,1120,1105,1805,912,893,420,208,212,
,39 bis unter 40,2278,1142,1136,1886,948,938,392,194,198,
,40 bis unter 41,2283,1062,1221,1845,872,973,438,190,248,
,41 bis unter 42,2267,1108,1159,1852,910,942,415,198,217,
,42 bis unter 43,2220,1040,1180,1775,830,945,445,210,235,
,43 bis unter 44,2208,1082,1126,1791,867,924,417,215,202,
,44 bis unter 45,2215,1070,1145,1801,863,938,414,207,207,
,45 bis unter 46,2214,1043,1171,1767,824,943,447,219,228,
,46 bis unter 47,2227,1082,1145,1787,865,922,440,217,223,
,47 bis unter 48,2243,1102,1141,1801,892,909,442,210,232,
,48 bis unter 49,2343,1130,1213,1871,895,976,472,235,237,
,49 bis unter 50,2494,1239,1255,2043,1027,1016,451,212,239,
,50 bis unter 51,2701,1336,1365,2292,1138,1154,409,198,211,
,51 bis unter 52,2806,1360,1446,2358,1139,1219,448,221,227,
,52 bis unter 53,3164,1585,1579,2768,1387,1381,396,198,198,
,53 bis unter 54,3385,1705,1680,3021,1502,1519,364,203,161,
