Die Bevölkerung in den kreisfreien Städten und Landkreisen am 31.12.2021 nach Alter und Geschlecht,,,,,,,,,,,Zurück zum Inhalt
AGS / Gebiet,Alter in Jahren,Insgesamt,,,Deutsche,,,Nichtdeutsche,,,
,,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,insgesamt,männlich,weiblich,
,75 bis unter 76,856,407,449,656,288,368,200,119,81,
,76 bis unter 77,751,356,395,557,261,296,194,95,99,
,77 bis unter 78,837,365,472,661,278,383,176,87,89,
,78 bis unter 79,774,335,439,649,281,368,125,54,71,
,79 bis unter 80,746,311,435,597,244,353,149,67,82,
,80 bis unter 81,836,380,456,724,318,406,112,62,50,
,81 bis unter 82,847,368,479,712,299,413,135,69,66,
,82 bis unter 83,785,324,461,669,264,405,116,60,56,
,83 bis unter 84,698,272,426,602,234,368,96,38,58,
,84 bis unter 85,610,240,370,528,194,334,82,46,36,
,85 bis unter 86,561,220,341,495,188,307,66,32,34,
,86 bis unter 87,516,221,295,444,187,257,72,34,38,
,87 bis unter 88,372,125,247,314,100,214,58,25,33,
,88 bis unter 89,326,130,196,268,103,165,58,27,31,
,89 bis unter 90,270,99,171,229,82,147,41,17,24,
,90 bis unter 91,192,47,145,170,42,128,22,5,17,
,91 bis unter 92,185,51,134,162,37,125,23,14,9,
,92 bis unter 93,160,59,101,144,50,94,16,9,7,
,93 bis unter 94,123,35,88,116,31,85,7,4,3,
,94 bis unter 95,100,30,70,88,25,63,12,5,7,
,95 oder älter,216,58,158,185,46,139,31,12,19,
,Insgesamt,131295,65222,66073,82012,40038,41974,49283,25184,24099,
414,Unter 1,3066,1536,1530,2438,1203,1235,628,333,295,
"Wiesbaden, Landeshauptstadt",  1 bis unter   2,2894,1491,1403,2309,1169,1140,585,322,263,
,  2 bis unter   3,2804,1474,1330,2173,1146,1027,631,328,303,
,  3 bis unter   4,3028,1516,1512,2340,1166,1174,688,350,338,
,  4 bis unter   5,3036,1541,1495,2383,1214,1169,653,327,326,
,  5 bis unter   6,3000,1512,1488,2299,1177,1122,701,335,366,
,  6 bis unter   7,2862,1501,1361,2216,1158,1058,646,343,303,
,  7 bis unter   8,2859,1482,1377,2222,1147,1075,637,335,302,
,  8 bis unter   9,2563,1270,1293,2049,1017,1032,514,253,261,
,  9 bis unter 10,2658,1378,1280,2204,1156,1048,454,222,232,
,10 bis unter 11,2529,1310,1219,2020,1054,966,509,256,253,
,11 bis unter 12,2720,1359,1361,2206,1089,1117,514,270,244,
,12 bis unter 13,2718,1420,1298,2234,1161,1073,484,259,225,
,13 bis unter 14,2740,1379,1361,2237,1132,1105,503,247,256,
,14 bis unter 15,2719,1433,1286,2253,1188,1065,466,245,221,
,15 bis unter 16,2677,1360,1317,2179,1089,1090,498,271,227,
,16 bis unter 17,2602,1376,1226,2193,1146,1047,409,230,179,
,17 bis unter 18,2705,1369,1336,2277,1153,1124,428,216,212,
,18 bis unter 19,2696,1413,1283,2250,1175,1075,446,238,208,
,19 bis unter 20,2768,1428,1340,2332,1180,1152,436,248,188,
,20 bis unter 21,3043,1529,1514,2524,1238,1286,519,291,228,
