GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2021;09761;Augsburg, kreisfreie Stadt;8607;8226;10152;11797;7362;5589;20461;24493;25161;21294;19422;17717;20006;20461;17746;27365;30619;296478
31.12.2021;09762;Kaufbeuren, kreisfreie Stadt;1403;1335;1672;1979;1270;845;2541;2730;3021;2857;2709;2503;3095;3625;3259;4970;5304;45118
31.12.2021;09763;Kempten (Allgäu), kreisfreie Stadt;2054;2008;2312;2773;1773;1293;4443;5180;5123;4432;4176;3995;4702;4774;4445;7216;8354;69053
31.12.2021;09764;Memmingen, kreisfreie Stadt;1412;1353;1644;1924;1245;881;2522;2793;3097;2758;2848;2676;3280;3454;3080;4676;5078;44721
31.12.2021;09771;Aichach-Friedberg, Landkreis;4200;4575;5626;6505;3805;2706;6982;6957;8258;8785;8756;8300;10838;11701;9850;13861;13833;135538
31.12.2021;09772;Augsburg, Landkreis;8088;8576;10505;12090;7265;5007;13079;13642;15992;16600;16355;15824;20161;21932;18525;27137;27012;257790
31.12.2021;09773;Dillingen an der Donau, Landkreis;3033;3023;3687;4561;2872;2018;5278;5699;6235;5937;5964;6006;7584;8273;7338;10677;9800;97985
31.12.2021;09774;Günzburg, Landkreis;3983;3900;4819;5969;3739;2617;7157;7771;8527;8164;7898;7998;9961;10804;9444;13355;12330;128436
31.12.2021;09775;Neu-Ulm, Landkreis;5736;5530;6574;8181;4842;3547;10058;10855;11976;11841;11389;10874;13239;13845;12159;18296;18388;177330
31.12.2021;09776;Lindau (Bodensee), Landkreis;2334;2358;2920;3608;2289;1567;4224;4381;5153;5030;4895;4743;6627;7237;5983;8871;10110;82330
31.12.2021;09777;Ostallgäu, Landkreis;4548;4593;5458;6574;4266;2812;7534;7989;8860;8885;8490;8645;11027;12206;10231;15769;15349;143236
31.12.2021;09778;Unterallgäu, Landkreis;4751;4564;5568;6700;4053;2906;8223;8629;9386;9063;8914;8827;11565;12325;10559;15691;16052;147776
31.12.2021;09779;Donau-Ries, Landkreis;4135;4022;5054;6269;3958;2653;7541;7766;8670;8536;8508;8489;10319;11409;9839;14355;13463;134986
31.12.2021;09780;Oberallgäu, Landkreis;4852;4664;5725;6746;4124;2913;7838;8554;9630;9364;9267;9232;12525;13510;11730;17757;18771;157202
31.12.2021;10041;Regionalverband Saarbrücken, Landkreis;8715;8739;10722;13374;8153;5915;18915;22161;22333;19913;18588;17096;23007;26697;25352;39820;37784;327284
31.12.2021;10042;Merzig-Wadern, Landkreis;2437;2609;3323;4497;2838;1922;4832;5375;6163;6136;6082;6154;7955;9434;8960;13302;11407;103426
31.12.2021;10043;Neunkirchen, Landkreis;3387;3439;4230;5355;3244;2242;6186;6849;7965;7645;7528;6869;9793;11802;11448;17035;15830;130847
31.12.2021;10044;Saarlouis, Landkreis;4982;5076;6548;7978;4907;3310;9302;10209;11664;11484;10935;10506;14106;17283;16771;25690;22910;193661
31.12.2021;10045;Saarpfalz-Kreis;3322;3587;4606;5840;3499;2478;6989;7501;8138;7926;7746;7380;10524;12620;12254;18594;17956;140960
31.12.2021;10046;Sankt Wendel, Landkreis;2008;1982;2671;3468;2132;1472;3696;4381;4876;4801;4776;4670;6591;8256;7889;11975;10526;86170
31.12.2021;11000;Berlin, kreisfreie Stadt;113454;113784;139874;161129;89382;60577;198651;268803;332835;299726;255168;211183;242327;267422;217085;337850;368222;3677472
31.12.2021;12051;Brandenburg an der Havel, kreisfreie Stadt;1757;1902;2535;2947;1508;1068;3170;3018;4910;5039;4504;3436;4631;5980;5795;9091;11170;72461
31.12.2021;12052;Cottbus, kreisfreie Stadt;2448;2526;3341;4019;2235;1619;4924;4820;6848;6663;5875;4643;6360;7990;7784;12536;13728;98359
31.12.2021;12053;Frankfurt (Oder), kreisfreie Stadt;1185;1406;1860;2351;1408;956;2854;2516;3454;3519;3329;2985;3552;4755;4892;7834;7823;56679
31.12.2021;12054;Potsdam, kreisfreie Stadt;5604;5911;7455;8824;4841;3306;10268;10680;15189;14601;13600;10920;11854;12883;10814;17151;19253;183154
31.12.2021;12060;Barnim, Landkreis;4562;5475;7413;9136;4943;3091;6902;5918;10820;12953;13101;10818;13835;17469;16091;23724;22584;188835
31.12.2021;12061;Dahme-Spreewald, Landkreis;4638;5276;6803;8092;4362;2690;6806;5999;10385;12130;12085;9941;13390;16044;14284;20940;21969;175834
31.12.2021;12062;Elbe-Elster, Landkreis;2193;2434;3268;4218;2469;1417;3015;2552;5009;6008;5841;5461;7766;9563;9601;14789;14713;100317
31.12.2021;12063;Havelland, Landkreis;4063;4814;6657;8169;4592;2957;6722;5257;9227;10775;10983;9833;13518;16215;13638;19341;19145;165906
31.12.2021;12064;Märkisch-Oderland, Landkreis;4549;5599;7841;9473;5104;3075;6383;5038;10663;13581;13911;11186;14673;19219;18132;25617;23921;197965
31.12.2021;12065;Oberhavel, Landkreis;5232;6015;8445;10397;5922;3924;8213;6768;11800;14233;14725;12552;17386;20967;17811;25542;25863;215795
31.12.2021;12066;Oberspreewald-Lausitz, Landkreis;2248;2718;3556;4409;2473;1499;3564;3001;5634;6586;6537;5613;7892;10062;9761;15464;16541;107558
31.12.2021;12067;Oder-Spree, Landkreis;4280;4965;6441;8072;4416;2776;6016;4860;9372;11290;11387;9591;13056;16954;16032;24778;24959;179245
31.12.2021;12068;Ostprignitz-Ruppin, Landkreis;2149;2578;3444;4313;2391;1570;3557;2957;5352;6284;6056;5267;7145;9419;9470;14153;12724;98829
31.12.2021;12069;Potsdam-Mittelmark, Landkreis;5042;6345;8891;11508;6581;3949;7805;5806;10928;13904;15171;13436;17949;21636;18652;26631;25287;219521
31.12.2021;12070;Prignitz, Landkreis;1603;1786;2490;3011;1770;1125;2783;2307;4082;4367;4205;3723;5423;7438;7344;11064;11053;75574
31.12.2021;12071;Spree-Neiße, Landkreis;2262;2789;3772;4798;2684;1513;3217;2426;5221;6573;6685;5719;8702;11278;11179;17243;15894;111955
31.12.2021;12072;Teltow-Fläming, Landkreis;4467;5230;6725;8163;4500;2920;6799;6052;10648;12299;11886;9883;13351;16074;13873;19780;19895;172545
31.12.2021;12073;Uckermark, Landkreis;2394;2764;3975;5060;2963;1794;3883;3202;5985;6700;6760;6030;8468;11289;11535;17790;16744;117336
31.12.2021;13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13003;Rostock, kreisfreie Stadt;5192;5234;6781;7901;4488;4014;14727;13029;17265;15178;12921;9738;12161;14669;13878;23457;27767;208400
31.12.2021;13004;Schwerin, kreisfreie Stadt;2488;2631;3496;4239;2436;1845;4672;4272;6536;6451;6119;4865;5889;7220;7015;12343;13223;95740
31.12.2021;13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13006;Wismar, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13051;Bad Doberan, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13052;Demmin, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13053;Güstrow, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13054;Ludwigslust, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13056;Müritz, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13057;Nordvorpommern, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13059;Ostvorpommern, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13060;Parchim, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13061;Rügen, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13062;Uecker-Randow, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;13071;Mecklenburgische Seenplatte, Landkreis;5761;6336;8946;11653;6476;4152;9311;7695;14143;15829;15909;13443;17641;24184;24645;38160;33241;257525
31.12.2021;13072;Rostock, Landkreis;5352;6226;8594;10502;5885;3417;6503;5648;12149;14832;14533;11800;16077;20751;19968;30054;25505;217796
31.12.2021;13073;Vorpommern-Rügen, Landkreis;4648;5409;7620;9910;5458;3338;8445;7080;12453;14357;14421;11736;16148;21378;21101;32445;29953;225900
31.12.2021;13074;Nordwestmecklenburg, Landkreis;3875;4285;5767;7335;4066;2582;6080;5216;9418;10890;10480;8796;11756;14375;13743;21323;18462;158449
31.12.2021;13075;Vorpommern-Greifswald, Landkreis;5074;5945;8032;10198;5820;3897;10859;8974;14197;15029;14367;11752;15729;20679;21790;33629;29480;235451
31.12.2021;13076;Ludwigslust-Parchim, Landkreis;5018;5679;7800;9514;5375;3269;7023;6345;12290;13783;13501;11777;16040;20487;19875;29820;24303;211899
31.12.2021;14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14171;Annaberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14177;Freiberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14178;Vogtlandkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14182;Mittweida, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14188;Stollberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14193;Zwickauer Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14272;Bautzen, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14280;Meißen, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14290;Weißeritzkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14292;Kamenz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14374;Delitzsch, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14375;Döbeln, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14379;Leipziger Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14383;Muldentalkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;14511;Chemnitz, kreisfreie Stadt;6330;6797;8582;10182;5731;4080;12285;12399;17231;16354;14918;11940;15112;17115;15666;31963;36420;243105
31.12.2021;14521;Erzgebirgskreis;7172;8410;11781;15063;8887;5265;11186;8746;15818;19376;20434;18609;22822;26641;27250;53853;47382;328695
31.12.2021;14522;Mittelsachsen, Landkreis;6843;7856;10853;13439;7485;4769;11028;9216;16121;18204;18533;16190;21862;25454;24519;43066;43891;299329
31.12.2021;14523;Vogtlandkreis;4635;5389;7383;9287;5547;3392;7689;6479;11135;12890;12963;12153;16230;19037;18510;33431;35226;221376
31.12.2021;14524;Zwickau, Landkreis;6851;7929;10744;13253;7827;4936;11498;9860;16276;18403;18427;16629;22559;26422;24952;45209;47846;309621
31.12.2021;14612;Dresden, kreisfreie Stadt;16308;17232;22487;25724;13598;10492;36273;35722;46548;42805;38172;29582;33218;34784;30043;53033;69330;555351
31.12.2021;14625;Bautzen, Landkreis;7014;8246;11395;13989;7887;4628;9441;7487;15111;18162;18920;16876;20992;26440;25508;41229;42965;296290
31.12.2021;14626;Görlitz, Landkreis;5349;6266;8727;11223;6418;3815;8532;6930;12034;14165;14386;13159;17520;21821;21715;37127;39086;248273
31.12.2021;14627;Meißen, Landkreis;5408;6513;9213;11489;6513;3996;7817;6068;12072;14899;15650;13478;17532;21096;19647;32081;35872;239344
31.12.2021;14628;Sächsische Schweiz-Osterzgebirge, Landkreis;5725;7089;9842;12111;6722;4045;7954;6351;12879;15376;15970;14299;17510;20652;18941;32588;35955;244009
31.12.2021;14713;Leipzig, kreisfreie Stadt;18312;18178;22852;25072;13183;11228;43753;44754;58209;50378;41952;30458;34671;36212;31409;53808;67437;601866
31.12.2021;14729;Leipzig, Landkreis;6237;7478;9946;12177;6810;4057;8126;6348;13657;16533;16990;14693;19854;23459;21507;34925;35417;258214
31.12.2021;14730;Nordsachsen, Landkreis;4729;5679;7379;8963;5052;3252;6610;5389;10867;13083;12904;11062;14820;17877;17104;26649;26110;197529
31.12.2021;15001;Dessau-Roßlau, kreisfreie Stadt;1643;1860;2426;3044;1749;1101;2858;2773;4206;4410;4388;3825;5501;6941;6437;11574;13995;78731
31.12.2021;15002;Halle (Saale), kreisfreie Stadt;6434;6911;8558;10362;5820;4891;17714;14679;17633;16343;14144;11719;14889;15766;13965;26891;31342;238061
31.12.2021;15003;Magdeburg, kreisfreie Stadt;6211;6511;8205;9720;5478;4154;15759;15170;17957;16141;13731;11395;15044;16902;15208;27167;31435;236188
31.12.2021;15081;Altmarkkreis Salzwedel;1834;2109;2994;3748;2153;1293;2876;2538;4485;5099;4975;4429;6295;8142;7764;11096;10156;81986
31.12.2021;15082;Anhalt-Bitterfeld, Landkreis;3278;3777;5126;6358;3578;2395;5530;4368;8390;9296;9373;8595;12032;14363;14057;22843;22541;155900
31.12.2021;15083;Börde, Landkreis;3996;4638;6480;7853;4406;2518;5547;4977;9784;11350;11233;9717;13402;15794;15409;23339;19663;170106
31.12.2021;15084;Burgenlandkreis;3886;4475;5984;7213;4231;2596;6157;5305;9663;10881;10711;9113;13392;15968;15661;25196;25901;176333
31.12.2021;15085;Harz, Landkreis;4375;4863;6842;8465;4983;3254;7584;6404;11030;12394;12636;10944;16096;19069;18411;31090;30677;209117
31.12.2021;15086;Jerichower Land, Landkreis;2016;2402;3268;3835;2122;1363;2860;2512;4699;5607;5601;4821;6874;8568;8360;12476;11734;89118
31.12.2021;15087;Mansfeld-Südharz, Landkreis;2619;2967;4257;5409;3084;1996;4327;3632;6447;7537;7663;7089;9762;12274;12243;20597;20414;132317
31.12.2021;15088;Saalekreis;4240;4965;6656;8426;4630;2842;6343;5310;10198;11704;11985;10233;14382;16616;15396;25916;22972;182814
31.12.2021;15089;Salzlandkreis;3992;4559;6278;7627;4493;2813;6677;5879;9989;10899;10808;9622;14636;17127;16339;26693;27064;185495
31.12.2021;15090;Stendal, Landkreis;2479;2751;3747;4841;2718;1777;4047;3502;6244;6598;6086;5664;8443;10577;10360;15526;14386;109746
31.12.2021;15091;Wittenberg, Landkreis;2637;2981;4059;5184;2899;1753;4016;3447;6408;7240;7014;6565;9415;11559;11275;18468;18421;123341
31.12.2021;15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15153;Bernburg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15154;Bitterfeld, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15159;Köthen, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15171;Wittenberg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15256;Burgenlandkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15260;Mansfelder Land, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15265;Saalkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15266;Sangerhausen, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15268;Weißenfels, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15355;Bördekreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15357;Halberstadt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15358;Jerichower Land, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15362;Ohrekreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15363;Stendal, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15364;Quedlinburg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15367;Schönebeck, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15369;Wernigerode, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;15370;Altmarkkreis Salzwedel (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;16051;Erfurt, kreisfreie Stadt;5664;6089;7891;9224;5118;3974;13337;11887;16440;15486;13946;11384;13955;15350;14207;24295;24980;213227
31.12.2021;16052;Gera, kreisfreie Stadt;2066;2295;3057;3785;2101;1418;3688;3289;5288;5520;5190;4447;5947;7637;7716;13673;14251;91368
31.12.2021;16053;Jena, kreisfreie Stadt;3001;2986;3989;4755;2566;2101;8754;8377;10025;8956;6917;5384;6121;6490;5829;10896;13355;110502
31.12.2021;16054;Suhl, kreisfreie Stadt;673;734;1109;1288;741;505;1519;1299;1787;1845;1905;1807;2541;3180;3042;6089;5990;36054
31.12.2021;16055;Weimar, kreisfreie Stadt;1653;1856;2503;3018;1615;1267;4120;3632;4623;4510;4224;3489;4163;4648;4230;7338;8249;65138
31.12.2021;16056;Eisenach, kreisfreie Stadt (bis 30.06.2021);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2021;16061;Eichsfeld, Landkreis;2747;3003;3926;4819;2782;1675;3663;3267;5760;6703;6543;6001;6977;8325;8061;13337;11735;99324
31.12.2021;16062;Nordhausen, Landkreis;1773;2098;2883;3634;2067;1347;3648;2837;4553;5015;4841;4272;5971;7079;6890;11193;11586;81687
31.12.2021;16063;Wartburgkreis;3537;4113;5790;6912;3958;2556;5979;5332;8927;10066;10117;9113;11692;13977;14010;21940;20881;158900
31.12.2021;16064;Unstrut-Hainich-Kreis;2467;2828;3875;4717;2799;1723;3761;3375;5563;6302;6442;5534;7444;8814;8837;13936;12852;101269
31.12.2021;16065;Kyffhäuserkreis;1510;1773;2413;3118;1868;1165;2504;2143;3817;4421;4332;3976;5391;6667;6852;11115;9899;72964
31.12.2021;16066;Schmalkalden-Meiningen, Landkreis;2667;3068;4467;5182;2963;1869;4850;4035;6748;7888;7507;6805;9082;10933;11163;17736;16441;123404
31.12.2021;16067;Gotha, Landkreis;3121;3564;4875;5896;3368;2211;5528;4662;7683;8713;8600;7704;10035;11578;11261;17932;17094;133825
31.12.2021;16068;Sömmerda, Landkreis;1523;1913;2550;3209;1813;1129;2395;2060;3643;4398;4613;4060;5255;6146;5998;10153;7859;68717
31.12.2021;16069;Hildburghausen, Landkreis;1404;1584;2231;2692;1478;987;2159;1952;3424;4214;4135;3635;4578;5608;5716;8784;7508;62089
31.12.2021;16070;Ilm-Kreis;2352;2796;3819;4548;2526;1658;4805;4343;6608;6783;6652;5471;7603;8818;8253;14489;13843;105367
31.12.2021;16071;Weimarer Land, Landkreis;1991;2386;3394;4076;2264;1377;2906;2390;4317;5351;5441;4888;6143;7240;7008;11711;9220;82103
31.12.2021;16072;Sonneberg, Landkreis;1115;1250;1793;2207;1309;910;2085;1851;2779;3366;3449;3341;4316;5047;5177;8477;8032;56504
31.12.2021;16073;Saalfeld-Rudolstadt, Landkreis;2043;2430;3354;4119;2330;1501;3530;2713;5184;5937;5938;5491;7398;9091;9358;15113;15439;100969
31.12.2021;16074;Saale-Holzland-Kreis;1726;2243;3100;3724;2052;1350;3035;2318;4343;5331;5374;4603;6136;7515;7079;11770;10814;82513
31.12.2021;16075;Saale-Orla-Kreis;1725;2044;2803;3423;1938;1202;2878;2310;3951;4846;4862;4454;5925;7230;7218;11685;10536;79030
31.12.2021;16076;Greiz, Landkreis;1939;2290;3371;4023;2338;1439;2996;2310;4422;5428;5766;5072;7090;8995;9020;14940;14663;96102
31.12.2021;16077;Altenburger Land, Landkreis;1718;2088;2842;3572;2109;1295;2870;2345;4267;4871;4998;4640;6803;7961;7593;13704;14131;87807
__________
Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.
© Statistisches Bundesamt (Destatis), 2022
Stand: 20.09.2022 / 17:55:17
