GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2021;03358;Heidekreis;4085;4079;5393;6595;4212;3073;7884;7858;8896;8225;8063;7939;11231;12188;10730;15939;16522;142912
31.12.2021;03359;Stade, Landkreis;6215;6434;8006;10078;6127;4218;10860;11243;12638;12651;12493;12465;16032;17085;14726;22718;22507;206496
31.12.2021;03360;Uelzen, Landkreis;2323;2288;3025;3945;2658;1739;4528;4641;5059;4720;4967;5484;7442;8383;7569;11640;12483;92894
31.12.2021;03361;Verden, Landkreis;4090;4340;5609;6564;3999;2745;7020;7188;7958;8250;7902;7971;10972;11911;10161;16106;15721;138507
31.12.2021;03401;Delmenhorst, kreisfreie Stadt;2422;2596;3039;3646;2258;1619;4260;4526;4910;4622;4449;4628;5653;6230;5369;8452;8843;77522
31.12.2021;03402;Emden, kreisfreie Stadt;1323;1436;1862;2213;1438;982;3300;3370;3310;2908;2838;2801;3821;3835;3336;5417;5333;49523
31.12.2021;03403;Oldenburg (Oldenburg), kreisfreie Stadt;4644;4508;5792;6984;4401;3380;13120;14584;13440;10843;9731;9501;12250;12856;10927;16695;16733;170389
31.12.2021;03404;Osnabrück, kreisfreie Stadt;4595;4342;5387;6695;4064;3430;15712;15585;12735;10224;9364;9232;11268;11455;9952;14826;16168;165034
31.12.2021;03405;Wilhelmshaven, kreisfreie Stadt;2006;1999;2394;2981;1839;1319;4828;5248;4989;3660;3679;3618;5292;6150;5337;9015;10673;75027
31.12.2021;03451;Ammerland, Landkreis;3574;3693;4798;5925;3776;2686;6220;6244;7317;7273;7186;7403;10174;10852;9239;15040;15075;126475
31.12.2021;03452;Aurich, Landkreis;4968;5168;6741;8656;5556;3928;10019;10110;10637;9999;10294;11294;15664;16735;14881;24700;21075;190425
31.12.2021;03453;Cloppenburg, Landkreis;6242;5963;7419;9268;6020;4306;11447;11549;11723;10910;10433;10447;13128;13541;11927;15984;13673;173980
31.12.2021;03454;Emsland, Landkreis;10244;10415;12798;16175;10403;7331;18989;19912;21540;20739;20074;20386;25813;27020;23717;35236;30605;331397
31.12.2021;03455;Friesland, Landkreis;2540;2673;3446;4225;2624;1914;4740;4685;5375;5127;5011;5344;8185;8963;7624;12734;13761;98971
31.12.2021;03456;Grafschaft Bentheim, Landkreis;4301;4206;5461;6853;4352;2896;7548;7904;8430;8096;7912;8363;11044;11940;9859;15310;14247;138722
31.12.2021;03457;Leer, Landkreis;5064;5200;6403;8010;5115;3665;9325;9744;10728;10034;9737;10188;13880;14598;12646;20038;18046;172421
31.12.2021;03458;Oldenburg, Landkreis;3765;3888;4875;6075;3990;2799;6917;6619;7566;7357;7634;7985;11415;12111;9998;14592;14505;132091
31.12.2021;03459;Osnabrück, Landkreis;11263;11146;14182;17484;10984;7684;19310;19332;22019;21297;21065;21763;28001;31073;27278;38989;38680;361550
31.12.2021;03460;Vechta, Landkreis;5117;4902;6131;7708;4801;3424;9585;9671;9707;9324;8849;8866;10760;11638;9739;13153;11430;144805
31.12.2021;03461;Wesermarsch, Landkreis;2381;2454;2995;3873;2521;1817;4686;4592;5119;4665;4590;5082;7218;8111;7008;10628;10690;88430
31.12.2021;03462;Wittmund, Landkreis;1418;1489;2038;2582;1618;1168;2929;2829;3114;2893;3081;3273;4664;4969;4781;7769;6840;57455
31.12.2021;04011;Bremen, kreisfreie Stadt;16997;16903;20231;24311;14726;10679;36503;40304;41575;37622;34083;32416;39716;42444;35781;56495;62504;563290
