GENESIS-Tabelle: 12411-0012
Bevölkerung: Bundesländer, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;
;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.2021;77-Jährige;84890;103269;30339;24470;5399;13912;50629;14544;66587;141847;31948;8291;45946;23319;27400;22106
31.12.2021;78-Jährige;84371;101416;31757;25819;5571;13848;49226;15480;67419;139479;31226;7911;44633;23577;27800;21668
31.12.2021;79-Jährige;81641;96286;29287;24467;5456;13095;45792;14563;63947;132254;29703;7613;40478;22751;26085;19847
31.12.2021;80-Jährige;95737;114053;32849;29349;5963;14605;53624;17993;75414;153739;35933;9560;48524;26749;30630;24543
31.12.2021;81-Jährige;96939;116859;30106;28351;5979;14607;55356;17396;75750;159618;37594;9520;48023;26261;29842;25443
31.12.2021;82-Jährige;92085;110980;27191;26423;5672;13350;51851;16881;71320;151116;35338;9378;44962;24295;28345;23573
31.12.2021;83-Jährige;81783;95282;24207;22974;5196;12047;45136;14863;64612;135348;31298;8129;38585;20508;25216;19385
31.12.2021;84-Jährige;71550;81727;21414;19961;4445;10642;39443;12627;55628;120003;27525;7741;33168;17882;21819;16398
31.12.2021;85-Jährige;63871;71764;19002;18088;4042;9623;35570;11389;48976;106641;24842;7049;30022;15958;19011;14785
31.12.2021;86-Jährige;55980;62067;16813;15927;3435;8484;30613;10094;42891;94138;21587;5808;27005;13964;16438;12762
31.12.2021;87-Jährige;45776;51635;14134;13034;2898;6744;25459;8433;35418;79302;17856;4528;22577;11750;13270;10625
31.12.2021;88-Jährige;33937;38202;9077;8875;1973;4665;18132;5949;24453;55291;12803;3490;15451;8002;8824;7183
31.12.2021;89-Jährige;28951;33361;7455;7636;1674;3979;15680;5219;21124;48058;11022;3068;12845;6927;7379;6238
31.12.2021;90 Jahre und mehr;109355;122064;29981;26951;7047;17004;62814;17296;84109;185973;43988;11195;51079;24824;30084;22679
31.12.2021;Insgesamt;11124642;13176989;3677472;2537868;676463;1853935;6295017;1611160;8027031;17924591;4106485;982348;4043002;2169253;2922005;2108863
__________
"Berlin: bis 1990 nur Berlin-West
Neue Länder ab 1991

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2022
Stand: 20.09.2022 / 17:54:25
